Study.name,Group,Full.name,WL.num,Sample.type,Study.stage,Days.since.Tx.start,Treatment.days,Washout.period,CFU,Adjusted.16S.Original,Culture.status,CFU_LOD,uL.template.RTP.16S.Original,cDNA.dilution.RTP.16S.Original,Median.Count.RTP.16S.Original,uL.RNA.into.RT.RTP.16S.Original,T50,T50_ci_low,T50_ci_up,T95,T95_ci_low,T95_ci_up
Gates-BC-Rel-01,BPaMZ,Gates-BC-Rel-01_2wk_Grp 5: BPaMZ_LG F,5787,mouse,On Treatment,14,14,0,4500,303642516.3,NA,NA,2,10,80971.33765,2,4.567387498,4.12906636,5.005708636,5.472737181,5.034416042,5.911058319
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_3wk_Grp 2: 2HRZE/3HR_LG A,5788,mouse,On Treatment,21,21,0,984000,146604589.1,NA,NA,2,10,39094.55709,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_3wk_Grp 2: 2HRZE/3HR_LG B,5789,mouse,On Treatment,21,21,0,844000,112774427.5,NA,NA,2,10,30073.18066,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_3wk_Grp 2: 2HRZE/3HR_LG C,5790,mouse,On Treatment,21,21,0,13900,113851598.4,NA,NA,2,10,30360.42625,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_3wk_Grp 2: 2HRZE/3HR_LG D,5791,mouse,On Treatment,21,21,0,703000,182702227.8,NA,NA,2,10,48720.59408,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_3wk_Grp 2: 2HRZE/3HR_LG E,5792,mouse,On Treatment,21,21,0,1080000,245353248.8,NA,NA,2,10,65427.533,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,HRZE,Gates-BC-Rel-01_3wk_Grp 2: 2HRZE/3HR_LG F,5793,mouse,On Treatment,21,21,0,844000,354208247.4,NA,NA,2,10,94455.53267,2,17.38476672,16.85147642,17.91805701,20.83078329,20.297493,21.36407358
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_3wk_Grp 3: PaMZ_LG A,5794,mouse,On Treatment,21,21,0,5250,225666874.9,NA,NA,2,10,60177.8333,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_3wk_Grp 3: PaMZ_LG B,5795,mouse,On Treatment,21,21,0,11600,642341013,NA,NA,2,10,171290.9368,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
Gates-BC-Rel-01,PaMZ,Gates-BC-Rel-01_3wk_Grp 3: PaMZ_LG C,5796,mouse,On Treatment,21,21,0,6000,662626018.8,NA,NA,2,10,176700.2717,2,10.98338088,8.982932151,12.98382961,13.16051177,11.16006304,15.1609605
