"Study.name","Group","Treatment.days","Study.stage","Days.since.Tx.start","Washout.period","CFU","Culture.status","Adjusted.16S.Original","T50","T50_ci_low","T50_ci_up","T95","T95_ci_low","T95_ci_up","T95_SE"
"Gates-BC-Rel-01","BPaL",28,"On Treatment",28,"no washout",45.7,"Positive",332324919,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",14,"On Treatment",14,"no washout",384000,"Positive",644408461,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",28,"On Treatment",28,"no washout",81.5,"Positive",273993501,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",28,"On Treatment",28,"no washout",81.5,"Positive",360904953,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",56,"On Treatment",56,"no washout",3.26,"Positive",27414449,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",56,"On Treatment",56,"no washout",6.52,"Positive",93053004,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",56,"On Treatment",56,"no washout",3.26,"Positive",14764677,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",56,"On Treatment",56,"no washout",1.63,"Negative",29236419,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",56,"On Treatment",56,"no washout",1.63,"Negative",33854612,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",84,"On Treatment",84,"no washout",1.63,"Negative",5634387,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",56,"On Treatment",56,"no washout",1.63,"Negative",46197274,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",84,"On Treatment",84,"no washout",1.63,"Negative",11879461,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",84,"On Treatment",84,"no washout",1.63,"Negative",9628888,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
