"Group","Study.name","Treatment.days","mean_CFU","mean_16S_rRNA","T50","T50_ci_low","T50_ci_up","T95","T95_ci_low","T95_ci_up","T95_SE"
"BPaMZ","Gates-BC-Rel-01",7,6.17709073159023,9.43153000400058,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"BPaMZ","Gates-BC-Rel-01",21,1.60700138064043,8.60017808123935,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"BPaMZ","Gates-BC-Rel-01",28,0.492394477299889,8.2041853046842,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"BPaMZ","Gates-BC-Rel-01",56,0.212187604403958,7.12287974525936,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"BPaMZ","TBDA-BC-Rel-01",14,3.93966008918848,8.34173595921551,4.21720202771572,4.08361919996824,4.3507848554632,5.04645179286924,4.91286896512177,5.18003462061672,0.0681545039527946
"BPaMZ","TBDA-BC-Rel-01",28,0.254026025148909,7.37693600879472,4.21720202771572,4.08361919996824,4.3507848554632,5.04645179286924,4.91286896512177,5.18003462061672,0.0681545039527946
"BPaMZ","TBDA-BC-Rel-01",42,0.254026025148909,6.88529083248889,4.21720202771572,4.08361919996824,4.3507848554632,5.04645179286924,4.91286896512177,5.18003462061672,0.0681545039527946
"BPaMZ","TBDA-BC-Rel-01",56,0.193820026016113,6.66825418880779,4.21720202771572,4.08361919996824,4.3507848554632,5.04645179286924,4.91286896512177,5.18003462061672,0.0681545039527946
"BPaOS","TBDA-BC-Rel-01",14,4.6312987553048,8.1851579419508,8.60806862649055,8.3692343560422,8.84690289693889,10.3007166997936,10.0618824293452,10.5395509702419,0.121854219616504
"BPaOS","TBDA-BC-Rel-01",70,0.193820026016113,6.8963381935598,8.60806862649055,8.3692343560422,8.84690289693889,10.3007166997936,10.0618824293452,10.5395509702419,0.121854219616504
"BPaOS","TBDA-BC-Rel-01",28,1.77582316721151,7.16956623682354,8.60806862649055,8.3692343560422,8.84690289693889,10.3007166997936,10.0618824293452,10.5395509702419,0.121854219616504
"BPaOS","TBDA-BC-Rel-01",42,0.374438023414502,7.72712979894073,8.60806862649055,8.3692343560422,8.84690289693889,10.3007166997936,10.0618824293452,10.5395509702419,0.121854219616504
"BPaOS","TBDA-BC-Rel-01",56,0.193820026016113,7.66597409027078,8.60806862649055,8.3692343560422,8.84690289693889,10.3007166997936,10.0618824293452,10.5395509702419,0.121854219616504
"BZM","Crush-TB-Substudy",14,5.30991564716326,8.46460189202086,6.15399358572381,5.98994590083516,6.31804127061246,7.36408447114481,7.20003678625616,7.52813215603345,0.0836977984125742
"BZM","Crush-TB-Substudy",28,1.38070481289425,7.58686016154957,6.15399358572381,5.98994590083516,6.31804127061246,7.36408447114481,7.20003678625616,7.52813215603345,0.0836977984125742
"BZMRb","Crush-TB-Substudy",14,5.17553318886687,8.60255334941441,5.07788787678855,4.69824471668053,5.45753103689658,6.0763786537608,5.69673549365278,6.45602181386883,0.193695489851033
"BZMRb","Crush-TB-Substudy",28,1.39478990420076,7.66284747885731,5.07788787678855,4.69824471668053,5.45753103689658,6.0763786537608,5.69673549365278,6.45602181386883,0.193695489851033
"HRZE","Crush-TB-Substudy",14,6.42004252876114,9.31130985995923,16.140494083653,15.7550575115835,16.5259306557224,19.3142810733127,18.9288445012433,19.6997176453822,0.196651312280343
"HRZE","Crush-TB-Substudy",28,4.82650803618969,8.23900066653238,16.140494083653,15.7550575115835,16.5259306557224,19.3142810733127,18.9288445012433,19.6997176453822,0.196651312280343
"HRZE","Gates-BC-Rel-01",7,6.88351665360869,9.08226312903479,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"HRZE","Gates-BC-Rel-01",140,0.212187604403958,6.90001022498495,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"HRZE","Gates-BC-Rel-01",14,6.34672284083186,8.9265453862898,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"HRZE","Gates-BC-Rel-01",21,5.64484564540725,8.24591527520555,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"HRZE","Gates-BC-Rel-01",112,0.322666547568581,6.2887805116276,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"HRZE","Gates-BC-Rel-01",28,5.07149529655056,8.29481872441485,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"HRZE","Gates-BC-Rel-01",98,0.412874268179945,7.26777287251801,17.3964240769298,16.8696043061029,17.9232438477566,20.8171709336126,20.2903511627857,21.3439907044395,0.268785597360649
"PaMZ","Gates-BC-Rel-01",21,3.4163709711387,8.65751733057404,10.9916884864355,10.4365956898173,11.5467812830537,13.153039789056,12.5979469924378,13.7081325856742,0.283210610519491
"PaMZ","Gates-BC-Rel-01",7,6.61000578647099,9.130247374543,10.9916884864355,10.4365956898173,11.5467812830537,13.153039789056,12.5979469924378,13.7081325856742,0.283210610519491
