"","Group","CFU","Adjusted.16S.Original","logCFU","log16S","PreRxCFU","PreRx16S","log10CFUreduction","log1016Sreduction"
"49","BZMRb",5.5,21880623.618,0.740362689494244,7.34005969563199,7.39718536480725,9.1195740603265,-6.65682267531301,-1.77951436469451
"50","BZMRb",76,160161843,1.88081359228079,8.20455905763852,7.39718536480725,9.1195740603265,-5.51637177252646,-0.915015002687978
"51","BZMRb",32.5,23860636.689,1.51188336097887,7.37768202805311,7.39718536480725,9.1195740603265,-5.88530200382838,-1.74189203227339
"52","BZMRb",23.5,47245198.8,1.37106786227174,7.67435768076884,7.39718536480725,9.1195740603265,-6.02611750253552,-1.44521637955766
"53","BZMRb",29.5,52188993.18,1.46982201597816,7.71757891861082,7.39718536480725,9.1195740603265,-5.92736334882909,-1.40199514171568
"54","BDOS",118.75,314026777.2,2.0746336182969,8.49696668213173,7.39718536480725,9.1195740603265,-5.32255174651035,-0.62260737819477
"55","BDOS",43.75,180887229.09,1.64097805735833,8.25740790609958,7.39718536480725,9.1195740603265,-5.75620730744892,-0.862166154226923
"56","BDOS",68.75,124528343.22,1.8372727025023,8.09526821009129,7.39718536480725,9.1195740603265,-5.55991266230495,-1.02430585023521
"57","BDOS",1103.13,23456772.909,3.04262669553703,7.37026826335426,7.39718536480725,9.1195740603265,-4.35455866927022,-1.74930579697224
"58","BDOS",90.63,26749916.592,1.95727197999294,7.42732243220059,7.39718536480725,9.1195740603265,-5.43991338481431,-1.69225162812591
"59","BPaOS",446.88,16441300.71,2.65019091835693,7.21593617262192,7.39718536480725,9.1195740603265,-4.74699444645032,-1.90363788770458
"60","BPaOS",6.25,50851338.45,0.795880017344075,7.70630238840526,7.39718536480725,9.1195740603265,-6.60130534746318,-1.41327167192124
"61","BPaOS",46.88,31207557.93,1.67098760301003,7.49425978535804,7.39718536480725,9.1195740603265,-5.72619776179722,-1.62531427496846
"62","BPaOS",96.88,1827118.3989,1.986234130135,6.26176669093375,7.39718536480725,9.1195740603265,-5.41095123467226,-2.85780736939275
